Method,Input,Precision,Recall,F1
MLP,With delta fitnesses,0.985239852398524,0.9501779359430605,0.967391304347826
MLP,With delta fitnesses w\o weather,0.9774436090225563,0.9252669039145908,0.9506398537477148
MLP,With delta fitnesses w\o blueprints,0.9157894736842105,0.9288256227758007,0.9222614840989399
MLP,"With delta fitnesses w\o weather, blueprints",0.8981818181818182,0.8790035587188612,0.8884892086330934
 Random Forest,With delta fitnesses,0.9354838709677419,0.8256227758007118,0.8771266540642721
 Random Forest,With delta fitnesses w\o weather,0.9390243902439024,0.8220640569395018,0.8766603415559773
 Random Forest,With delta fitnesses w\o blueprints,0.9311740890688259,0.8185053380782918,0.8712121212121213
 Random Forest,"With delta fitnesses w\o weather, blueprints",0.934156378600823,0.8078291814946619,0.8664122137404581
Decision Tree,With delta fitnesses,0.9414225941422594,0.800711743772242,0.8653846153846153
Decision Tree,With delta fitnesses w\o weather,0.948936170212766,0.7935943060498221,0.8643410852713179
Decision Tree,With delta fitnesses w\o blueprints,0.9487179487179487,0.7900355871886121,0.8621359223300971
Decision Tree,"With delta fitnesses w\o weather, blueprints",0.9484978540772532,0.7864768683274022,0.8599221789883268
SVM,With delta fitnesses w\o weather,0.8571428571428571,0.8327402135231317,0.8447653429602888
SVM,With delta fitnesses,0.8107142857142857,0.8078291814946619,0.8092691622103387
 Random Forest,With 1 set of fitnesses w\o weather,0.782608695652174,0.8059701492537313,0.7941176470588236
 Random Forest,With 1 set of fitnesses w\o blueprints,0.7083333333333334,0.7611940298507462,0.7338129496402879
 Random Forest,With 1 set of fitnesses,0.7083333333333334,0.7611940298507462,0.7338129496402879
MLP,With 1 set of fitnesses w\o weather,0.7101449275362319,0.7313432835820896,0.7205882352941175
SVM,With 1 set of fitnesses w\o weather,0.625,0.8208955223880597,0.7096774193548387
Decision Tree,With 1 set of fitnesses,0.7457627118644068,0.6567164179104478,0.6984126984126985
SVM,With delta fitnesses w\o blueprints,0.7230769230769231,0.6690391459074733,0.6950092421441775
MLP,With 1 set of fitnesses,0.6265060240963856,0.7761194029850746,0.6933333333333334
Decision Tree,With 1 set of fitnesses w\o weather,0.6410256410256411,0.746268656716418,0.6896551724137931
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",0.6410256410256411,0.746268656716418,0.6896551724137931
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",0.7636363636363637,0.6268656716417911,0.6885245901639345
Decision Tree,With 1 set of fitnesses w\o blueprints,0.7636363636363637,0.6268656716417911,0.6885245901639345
SVM,"With delta fitnesses w\o weather, blueprints",0.7385892116182573,0.6334519572953736,0.6819923371647509
SVM,"With 1 set of fitnesses w\o weather, blueprints",0.6075949367088608,0.7164179104477612,0.6575342465753424
MLP,"With 1 set of fitnesses w\o weather, blueprints",0.6216216216216216,0.6865671641791045,0.652482269503546
SVM,With 1 set of fitnesses,0.5681818181818182,0.746268656716418,0.6451612903225807
MLP,With 1 set of fitnesses w\o blueprints,0.59375,0.5671641791044776,0.5801526717557253
SVM,With 1 set of fitnesses w\o blueprints,0.5,0.6268656716417911,0.5562913907284769
